,UNIVERSITY OF HAWAI‘I AT MANOA,,,,,,
,,,,,,,
,GRADUATION AND PERSISTENCE RATES,,,,,,
,"FIRST-TIME, FULL-TIME, DEGREE-SEEKING UNDERGRADUATES",,,,,,
,,,,,,,
,,,,,,,
,,,Fall 2007,,,,
,,,Cohort,,,,
,,,,,,,
,GRADUATION RATE - Graduated within 6 years ………………………………………………,,57%,,,,
,,,,,,,
,Gender,,,,,,
,,Men ………………………………………………………………………………………………………………….,54%,,,,
,,Women ………………………………………………………………………………………………………..,59%,,,,
,,,,,,,
,IPEDS Race/Ethnicity,,,,,,
,,Nonresident Alien ………………………………………………………………………………………..,71%,,,,
,,Hispanic/Latino ……………………………………………………………………………………….,40%,,,,
,,American Indian or Alaska Native ………………………………………………………………….,#,,,,
,,Asian …………………………………………………………………………………………………,69%,,,,
,,Black or African American ………………………………………………………………………….,44%,,,,
,,Native Hawaiian or Other Pacific Islander ………………………………………………………,53%,,,,
,,White ………………………………………………………………………………………………..,39%,,,,
,,Two or more races …………………………………………………………………………………,52%,,,,
,,Race and ethnicity unknown ………………………………………………………………………,41%,,,,
,,,,,,,
,Federal Grant/Loan Recipient,,,,,,
,,Recipient of a Federal Pell Grant ………………………………………………………………..,57%,,,,
,,Recipient of a subsidized Stafford Loan who did not receive a Pell Grant ……………………,38%,,,,
,,Student who did not receive either a Pell Grant or a subsidized Stafford Loan …………….,58%,,,,
,,,,,,,
,PERSISTENCE RATE - Still enrolled 6 years after entry …………………………………………………..,,6%,,,,
,,,,,,,
,,,,,,,
,A pound sign (#) denotes any cohort/subcohort with fewer than ten students.,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,"Institutional Research and Analysis Office, University of Hawai‘i, February 2014",,,,,,
