,LEEWARD COMMUNITY COLLEGE,,
,,,
,GRADUATION AND PERSISTENCE RATES,,
,"FIRST-TIME, FULL-TIME, DEGREE OR CERTIFICATE-SEEKING UNDERGRADUATES",,
,,,
,,,
,,,Fall 2010
,,,Cohort
,,,
,GRADUATION RATE - 150% of normal time to completion ………………………………………………,,12%
,,,
,Gender,,
,,Men ………………………………………………………………………………………………………………….,10%
,,Women ………………………………………………………………………………………………………..,14%
,,,
,IPEDS Race/Ethnicity,,
,,Nonresident Alien ………………………………………………………………………………………..,#
,,Hispanic/Latino ……………………………………………………………………………………….,11%
,,American Indian or Alaska Native ………………………………………………………………….,#
,,Asian …………………………………………………………………………………………………,16%
,,Black or African American ………………………………………………………………………….,6%
,,Native Hawaiian or Other Pacific Islander ………………………………………………………,7%
,,White ………………………………………………………………………………………………..,9%
,,Two or more races …………………………………………………………………………………,11%
,,Race and ethnicity unknown ………………………………………………………………………,11%
,,,
,Federal Grant/Loan Recipient,,
,,Recipient of a Federal Pell Grant ………………………………………………………………..,8%
,,Recipient of a subsidized Stafford Loan who did not receive a Pell Grant ……………………,#
,,Student who did not receive either a Pell Grant or a subsidized Stafford Loan …………….,15%
,,,
,PERSISTENCE RATE - Still enrolled after 150% of normal time to completion …………………………………………………..,,24%
,,,
,TRANSFER OUT RATE ………………………………………………………………………………………………..,,23%
,,,
,,,
,A pound sign (#) denotes any cohort/subcohort with fewer than ten students.,,
,,,
,,,
,,,
,,,
,,,
,"Institutional Research and Analysis Office, University of Hawai‘i, February 2014",,
