,KAUA‘I COMMUNITY COLLEGE,,
,,,
,GRADUATION AND PERSISTENCE RATES,,
,"FIRST-TIME, FULL-TIME, DEGREE OR CERTIFICATE-SEEKING UNDERGRADUATES",,
,,,
,,,
,,,Fall 2010
,,,Cohort
,,,
,GRADUATION RATE - 150% of normal time to completion ………………………………………………,,16%
,,,
,Gender,,
,,Men ………………………………………………………………………………………………………………….,9%
,,Women ………………………………………………………………………………………………………..,21%
,,,
,IPEDS Race/Ethnicity,,
,,Nonresident Alien ………………………………………………………………………………………..,#
,,Hispanic/Latino ……………………………………………………………………………………….,21%
,,American Indian or Alaska Native ………………………………………………………………….,#
,,Asian …………………………………………………………………………………………………,14%
,,Black or African American ………………………………………………………………………….,#
,,Native Hawaiian or Other Pacific Islander ………………………………………………………,18%
,,White ………………………………………………………………………………………………..,16%
,,Two or more races …………………………………………………………………………………,16%
,,Race and ethnicity unknown ………………………………………………………………………,#
,,,
,Federal Grant/Loan Recipient,,
,,Recipient of a Federal Pell Grant ………………………………………………………………..,15%
,,Recipient of a subsidized Stafford Loan who did not receive a Pell Grant ……………………,#
,,Student who did not receive either a Pell Grant or a subsidized Stafford Loan …………….,16%
,,,
,PERSISTENCE RATE - Still enrolled after 150% of normal time to completion …………………………………………………..,,23%
,,,
,TRANSFER OUT RATE ………………………………………………………………………………………………..,,19%
,,,
,,,
,A pound sign (#) denotes any cohort/subcohort with fewer than ten students.,,
,,,
,,,
,,,
,,,
,,,
,"Institutional Research and Analysis Office, University of Hawai‘i, February 2014",,
