,UNIVERSITY OF HAWAI‘I AT HILO,,,,,,
,,,,,,,
,GRADUATION AND PERSISTENCE RATES,,,,,,
,"FIRST-TIME, FULL-TIME, DEGREE-SEEKING UNDERGRADUATES",,,,,,
,,,,,,,
,,,,,,,
,,,Fall 2007,,,,
,,,Cohort,,,,
,,,,,,,
,GRADUATION RATE - Graduated within 6 years ………………………………………………,,36%,,,,
,,,,,,,
,Gender,,,,,,
,,Men ………………………………………………………………………………………………………………….,31%,,,,
,,Women ………………………………………………………………………………………………………..,40%,,,,
,,,,,,,
,IPEDS Race/Ethnicity,,,,,,
,,Nonresident Alien ………………………………………………………………………………………..,30%,,,,
,,Hispanic/Latino ……………………………………………………………………………………….,33%,,,,
,,American Indian or Alaska Native ………………………………………………………………….,#,,,,
,,Asian …………………………………………………………………………………………………,38%,,,,
,,Black or African American ………………………………………………………………………….,#,,,,
,,Native Hawaiian or Other Pacific Islander ………………………………………………………,37%,,,,
,,White ………………………………………………………………………………………………..,34%,,,,
,,Two or more races …………………………………………………………………………………,44%,,,,
,,Race and ethnicity unknown ………………………………………………………………………,#,,,,
,,,,,,,
,Federal Grant/Loan Recipient,,,,,,
,,Recipient of a Federal Pell Grant ………………………………………………………………..,34%,,,,
,,Recipient of a subsidized Stafford Loan who did not receive a Pell Grant ……………………,33%,,,,
,,Student who did not receive either a Pell Grant or a subsidized Stafford Loan …………….,38%,,,,
,,,,,,,
,PERSISTENCE RATE - Still enrolled 6 years after entry …………………………………………………..,,6%,,,,
,,,,,,,
,,,,,,,
,A pound sign (#) denotes any cohort/subcohort with fewer than ten students.,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,"Institutional Research and Analysis Office, University of Hawai‘i, February 2014",,,,,,
