,KAPI‘OLANI COMMUNITY COLLEGE,,
,,,
,GRADUATION AND PERSISTENCE RATES,,
,"FIRST-TIME, FULL-TIME, DEGREE OR CERTIFICATE-SEEKING UNDERGRADUATES",,
,,,
,,,
,,,Fall 2010
,,,Cohort
,,,
,GRADUATION RATE - 150% of normal time to completion ………………………………………………,,15%
,,,
,Gender,,
,,Men ………………………………………………………………………………………………………………….,10%
,,Women ………………………………………………………………………………………………………..,20%
,,,
,IPEDS Race/Ethnicity,,
,,Nonresident Alien ………………………………………………………………………………………..,34%
,,Hispanic/Latino ……………………………………………………………………………………….,8%
,,American Indian or Alaska Native ………………………………………………………………….,#
,,Asian …………………………………………………………………………………………………,14%
,,Black or African American ………………………………………………………………………….,#
,,Native Hawaiian or Other Pacific Islander ………………………………………………………,13%
,,White ………………………………………………………………………………………………..,10%
,,Two or more races …………………………………………………………………………………,8%
,,Race and ethnicity unknown ………………………………………………………………………,#
,,,
,Federal Grant/Loan Recipient,,
,,Recipient of a Federal Pell Grant ………………………………………………………………..,20%
,,Recipient of a subsidized Stafford Loan who did not receive a Pell Grant ……………………,#
,,Student who did not receive either a Pell Grant or a subsidized Stafford Loan …………….,13%
,,,
,PERSISTENCE RATE - Still enrolled after 150% of normal time to completion …………………………………………………..,,18%
,,,
,TRANSFER OUT RATE ………………………………………………………………………………………………..,,29%
,,,
,,,
,A pound sign (#) denotes any cohort/subcohort with fewer than ten students.,,
,,,
,,,
,,,
,,,
,,,
,"Institutional Research and Analysis Office, University of Hawai‘i, February 2014",,
