,HAWAI‘I COMMUNITY COLLEGE,,,
,,,,
,GRADUATION AND PERSISTENCE RATES,,,
,"FIRST-TIME, FULL-TIME, DEGREE OR CERTIFICATE-SEEKING UNDERGRADUATES",,,
,,,,
,,,,
,,,Fall 2010,
,,,Cohort,
,,,,
,GRADUATION RATE - 150% of normal time to completion ………………………………………………,,19%,
,,,,
,Gender,,,
,,Men ………………………………………………………………………………………………………………….,21%,
,,Women ………………………………………………………………………………………………………..,18%,
,,,,
,IPEDS Race/Ethnicity,,,
,,Nonresident Alien ………………………………………………………………………………………..,18%,
,,Hispanic/Latino ……………………………………………………………………………………….,24%,
,,American Indian or Alaska Native ………………………………………………………………….,#,
,,Asian …………………………………………………………………………………………………,30%,
,,Black or African American ………………………………………………………………………….,#,
,,Native Hawaiian or Other Pacific Islander ………………………………………………………,10%,
,,White ………………………………………………………………………………………………..,27%,
,,Two or more races …………………………………………………………………………………,16%,
,,Race and ethnicity unknown ………………………………………………………………………,#,
,,,,
,Federal Grant/Loan Recipient,,,
,,Recipient of a Federal Pell Grant ………………………………………………………………..,18%,
,,Recipient of a subsidized Stafford Loan who did not receive a Pell Grant ……………………,13%,
,,Student who did not receive either a Pell Grant or a subsidized Stafford Loan …………….,22%,
,,,,
,PERSISTENCE RATE - Still enrolled after 150% of normal time to completion …………………………………………………..,,15%,
,,,,
,TRANSFER OUT RATE ………………………………………………………………………………………………..,,14%,
,,,,
,,,,
,A pound sign (#) denotes any cohort/subcohort with fewer than ten students.,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,"Institutional Research and Analysis Office, University of Hawai‘i, February 2014",,,
