,UNIVERSITY OF HAWAI‘I - MAUI COLLEGE,,
,,,
,GRADUATION AND PERSISTENCE RATES,,
,"FIRST-TIME, FULL-TIME, DEGREE OR CERTIFICATE-SEEKING UNDERGRADUATES",,
,,,
,,,
,,,Fall 2010
,,,Cohort
,,,
,GRADUATION RATE - 150% of normal time to completion ………………………………………………,,14%
,,,
,Gender,,
,,Men ………………………………………………………………………………………………………………….,11%
,,Women ………………………………………………………………………………………………………..,16%
,,,
,IPEDS Race/Ethnicity,,
,,Nonresident Alien ………………………………………………………………………………………..,#
,,Hispanic/Latino ……………………………………………………………………………………….,8%
,,American Indian or Alaska Native ………………………………………………………………….,#
,,Asian …………………………………………………………………………………………………,19%
,,Black or African American ………………………………………………………………………….,#
,,Native Hawaiian or Other Pacific Islander ………………………………………………………,8%
,,White ………………………………………………………………………………………………..,13%
,,Two or more races …………………………………………………………………………………,16%
,,Race and ethnicity unknown ………………………………………………………………………,#
,,,
,Federal Grant/Loan Recipient,,
,,Recipient of a Federal Pell Grant ………………………………………………………………..,14%
,,Recipient of a subsidized Stafford Loan who did not receive a Pell Grant ……………………,20%
,,Student who did not receive either a Pell Grant or a subsidized Stafford Loan …………….,13%
,,,
,PERSISTENCE RATE - Still enrolled after 150% of normal time to completion …………………………………………………..,,21%
,,,
,TRANSFER OUT RATE ………………………………………………………………………………………………..,,16%
,,,
,,,
,A pound sign (#) denotes any cohort/subcohort with fewer than ten students.,,
,,,
,,,
,,,
,,,
,,,
,"Institutional Research and Analysis Office, University of Hawai‘i, February 2014",,
