,HONOLULU COMMUNITY COLLEGE,,
,,,
,GRADUATION AND PERSISTENCE RATES,,
,"FIRST-TIME, FULL-TIME, DEGREE OR CERTIFICATE-SEEKING UNDERGRADUATES",,
,,,
,,,
,,,Fall 2010
,,,Cohort
,,,
,GRADUATION RATE - 150% of normal time to completion ………………………………………………,,13%
,,,
,Gender,,
,,Men ………………………………………………………………………………………………………………….,10%
,,Women ………………………………………………………………………………………………………..,17%
,,,
,IPEDS Race/Ethnicity,,
,,Nonresident Alien ………………………………………………………………………………………..,#
,,Hispanic/Latino ……………………………………………………………………………………….,12%
,,American Indian or Alaska Native ………………………………………………………………….,#
,,Asian …………………………………………………………………………………………………,13%
,,Black or African American ………………………………………………………………………….,#
,,Native Hawaiian or Other Pacific Islander ………………………………………………………,15%
,,White ………………………………………………………………………………………………..,7%
,,Two or more races …………………………………………………………………………………,13%
,,Race and ethnicity unknown ………………………………………………………………………,#
,,,
,Federal Grant/Loan Recipient,,
,,Recipient of a Federal Pell Grant ………………………………………………………………..,17%
,,Recipient of a subsidized Stafford Loan who did not receive a Pell Grant ……………………,#
,,Student who did not receive either a Pell Grant or a subsidized Stafford Loan …………….,10%
,,,
,PERSISTENCE RATE - Still enrolled after 150% of normal time to completion …………………………………………………..,,16%
,,,
,TRANSFER OUT RATE ………………………………………………………………………………………………..,,25%
,,,
,,,
,A pound sign (#) denotes any cohort/subcohort with fewer than ten students.,,
,,,
,,,
,,,
,,,
,,,
,"Institutional Research and Analysis Office, University of Hawai‘i, February 2014",,
