UNIVERSITY OF HAWAI‘I,,,,,,,,,,,,,
,,,,,,,,,,,,,
"GRADUATION AND PERSISTENCE RATES, FALL COHORTS",,,,,,,,,,,,,
"FIRST-TIME, FULL-TIME, DEGREE OR CERTIFICATE-SEEKING UNDERGRADUATES",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Fall 2007 Cohort,,,Fall 2010 Cohort,,,,,,,
,,,M?noa,Hilo,West O‘ahu,UHCC Avg,Hawai‘i,Honolulu,Kapi‘olani,Kaua‘i,Leeward,Maui,Windward
,,,,,,,,,,,,,
,GRADUATION RATE - 150% of normal time to completion ………………………………………………………………………………..,,57%,36%,25%,14%,19%,13%,15%,16%,12%,14%,12%
,,,,,,,,,,,,,
,Gender,,,,,,,,,,,,
,,Men ……………………………………………………………………………………………………………………….,54%,31%,#,12%,21%,10%,10%,9%,10%,11%,10%
,,Women …………………………………………………………………………………………………………………,59%,40%,36%,16%,18%,17%,20%,21%,14%,16%,13%
,,,,,,,,,,,,,
,IPEDS Race/Ethnicity,,,,,,,,,,,,
,,Nonresident Alien ………………………………………………………………………………………………………,71%,30%,#,29%,18%,#,34%,#,#,#,#
,,Hispanic/Latino ………………………………………………………………………………………………………,40%,33%,#,15%,24%,12%,8%,21%,11%,8%,17%
,,American Indian or Alaska Native …………………………………………………………………………………,#,#,#,#,#,#,#,#,#,#,#
,,Asian ……………………………………………………………………………………………………………………,69%,38%,#,16%,30%,13%,14%,14%,16%,19%,12%
,,Black or African American …………………………………………………………………………………………….,44%,#,#,5%,#,#,#,#,6%,#,#
,,Native Hawaiian or Other Pacific Islander ……………………………………………………………………..,53%,37%,#,9%,10%,15%,13%,18%,7%,8%,5%
,,White ………………………………………………………………………………………………………………………………,39%,34%,#,13%,27%,7%,10%,16%,9%,13%,12%
,,Two or more races ……………………………………………………………………………………………………………..,52%,44%,#,13%,16%,13%,8%,16%,11%,16%,13%
,,Race and ethnicity unknown ……………………………………………………………………………………………..,41%,#,#,10%,#,#,#,#,11%,#,#
,,,,,,,,,,,,,
,Federal Grant/Loan Recipient,,,,,,,,,,,,
,,Recipient of a Federal Pell Grant ………………………………………………………………………..,57%,34%,#,14%,18%,17%,20%,15%,8%,14%,7%
,,Recipient of a subsidized Stafford Loan who did not receive a Pell Grant …………………………………………………………………,38%,33%,#,21%,13%,#,#,#,#,20%,27%
,,Student who did not receive either a Pell Grant or a subsidized Stafford Loan ……………………………………………………….,58%,38%,17%,14%,22%,10%,13%,16%,15%,13%,16%
,,,,,,,,,,,,,
,PERSISTENCE RATE - Still enrolled after 150% of normal time to completion ……………………………,,6%,6%,6%,20%,15%,16%,18%,23%,24%,21%,19%
,,,,,,,,,,,,,
,TRANSFER OUT RATE ………………………………………………………………………………………………..,,N/A,N/A,N/A,22%,14%,25%,29%,19%,23%,16%,24%
,,,,,,,,,,,,,
,,,,,,,,,,,,,
A pound sign (#) denotes any cohort/subcohort with fewer than ten students.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"This information is provided for the Student Right-to-Know Act, Public Law 101-542. It provides a partial description of the graduation and enrollment patterns of students.",,,,,,,,,,,,,
It should not be used to infer or predict individual behavior.,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Institutional Research and Analysis Office, University of Hawai‘i, February 2014",,,,,,,,,,,,,
