Categories,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
All R&D fields,"326,750","312,311","318,316","303,085","290,707","271,835","266,447","250,694","230,651","236,368"
Science,"315,157","304,438","310,288","294,201","280,362","260,668","257,187","238,196","219,832","227,684"
Computer sciences,"22,378","20,456","22,488","31,958","23,955","24,677","34,176","21,252","18,922","18,143"
Environmental sciences,"88,330","78,775","86,166","84,708","77,907","71,276","65,677","60,612","60,485","54,891"
Atmospheric sciences,"2,001","1,138","1,380","1,701","2,270","2,472","2,675","2,490","2,968","3,936"
Earth sciences,"24,533","15,307","17,056","13,358","13,235","12,441","14,242","14,250","11,912","11,294"
Oceanography,"57,004","56,340","63,152","65,266","57,171","52,481","46,455","41,043","42,451","37,305"
"Environmental sciences, nec","4,792","5,990","4,578","4,383","5,231","3,882","2,305","2,829","3,154","2,356"
Life sciences,"120,481","123,691","119,293","103,451","107,753","100,277","90,518","83,980","84,326","99,014"
Agricultural sciences,"24,517","20,775","19,766","16,710","18,148","19,198","17,993","15,379","15,626","15,883"
Biological sciences,"8,629","8,840","9,409","9,103","9,169","8,766","7,424","3,287","4,630","4,127"
Medical sciences,"76,953","82,338","79,383","67,857","68,645","60,456","57,078","52,753","44,450","51,904"
"Life sciences, nec","10,382","11,738","10,735","9,781","11,791","11,857","8,023","12,561","19,620","27,100"
Mathematical sciences,98,62,11,28,32,15,5,0,0,46
Physical sciences,"37,276","45,881","45,083","39,689","43,051","38,550","40,124","40,300","29,343","22,653"
Astronomy,"28,815","37,769","36,411","31,807","36,421","31,287","32,455","32,760","21,719","15,091"
Chemistry,"1,912","2,626","3,235","3,650","2,965","2,602","1,860","1,476","1,731","2,240"
Physics,"5,127","3,967","3,710","2,715","2,536","3,683","5,305","5,875","5,609","5,225"
" Physical sciences, nec","1,422","1,519","1,727","1,517","1,129",978,504,189,284,97
Psychology,280,79,209,459,801,"1,010",863,858,739,"4,148"
Social sciences,"10,274","5,378","7,833","9,222","7,501","7,543","6,354","6,740","5,698","7,407"
Economics,36,0,7,71,60,51,22,68,151,24
Political sciences,0,0,0,0,5,13,4,9,0,13
Sociology,740,566,350,"1,083",849,427,332,75,253,205
"Social sciences, nec","9,498","4,812","7,476","8,068","6,587","7,052","5,996","6,588","5,294","7,165"
"Sciences, nec","36,040","30,116","29,205","24,686","19,362","17,320","19,470","24,454","20,319","21,382"
Engineering,"11,245","7,873","8,028","8,884","10,345","11,167","9,260","11,439","10,819","8,684"
Aeronautical/astronautical engineering,0,0,0,0,0,0,0,0,0,35
Bioengineering/biomedical engineering,809,0,0,0,0,0,0,0,0,0
Chemical engineering,0,0,0,0,0,0,0,0,0,0
Civil engineering,"2,549","2,115","2,751","2,806","3,050","2,414","1,537","1,414","1,066","1,138"
Electrical engineering,"3,893","1,443","1,430","1,682","1,323","1,236","1,264","1,888","2,457","1,297"
Mechanical engineering,"2,487","2,308","2,194","2,070","2,413","3,237","4,055","3,433","2,598","2,069"
Metallurgical/materials engineering,18,15,428,0,0,0,24,39,"1,007","1,395"
"Engineering, nec","1,489","1,992","1,225","2,326","3,559","4,280","2,380","4,665","3,691","2,750"
Non-S&E,348,0,0,0,0,0,0,"1,059",0,0
Business and management,9,0,0,0,0,0,0,12,0,0
"Communications, journalism, and library science",0,0,0,0,0,0,0,0,0,0
Education,123,0,0,0,0,0,0,795,0,0
Humanities,25,0,0,0,0,0,0,230,0,0
Law,36,0,0,0,0,0,0,19,0,0
Social work,155,0,0,0,0,0,0,0,0,0
Visual and performing arts,0,0,0,0,0,0,0,3,0,0
"Non-S&E, nec",0,0,0,0,0,0,0,0,0,0
