[ID],Year,Institution,state,Tot Lic/Opt Exe,Gross Lic Inc
95183,2010,Univ. of Alaska,AK,16,"$13,500"
20100285,2011,University of Alaska,AK,1,"$25,000"
20120292,2012,University of Alaska Anchorage,AK,2,"$11,500"
95182,1991,Univ. of AL/Birmingham,AL,17,"$340,209"
95182,1992,Univ. of AL/Birmingham,AL,23,"$434,820"
95182,1993,Univ. of AL/Birmingham,AL,22,"$703,262"
95181,1994,Univ. of AL in Huntsville,AL,0,"$2,434"
95182,1994,Univ. of AL/Birmingham,AL,26,"$802,970"
95241,1994,Univ. of South AL,AL,1,"$25,000"
95007,1995,Auburn University,AL,4,"$85,304"
95181,1995,Univ. of AL in Huntsville,AL,2,"$28,000"
95182,1995,Univ. of AL/Birmingham,AL,35,"$984,251"
95241,1995,Univ. of South AL,AL,0,$0
95007,1996,Auburn University,AL,6,"$188,585"
95182,1996,Univ. of Alabama/Birmingham,AL,27,"$1,139,656"
95241,1996,Univ. of South Alabama,AL,4,"$50,000"
95007,1997,Auburn University,AL,4,"$160,000"
95182,1997,Univ. of Alabama/Birmingham,AL,35,"$2,218,603"
95241,1997,Univ. of South Alabama,AL,5,"$100,000"
95007,1998,Auburn University,AL,7,"$192,319"
95182,1998,Univ. of Alabama/Birmingham,AL,41,"$1,429,339"
95007,1999,Auburn University,AL,5,"$186,738"
95182,1999,Univ. of Alabama/Birmingham,AL,40,"$1,562,778"
95241,1999,Univ. of South Alabama,AL,0,"$7,178"
95007,2000,Auburn University,AL,3,"$172,500"
95182,2000,Univ. of Alabama/Birmingham,AL,37,"$3,724,463"
95241,2000,Univ. of South Alabama,AL,9,"$395,186"
95007,2001,Auburn University,AL,9,"$289,055"
95182,2001,Univ. of Alabama Birmingham Research Fdn.,AL,18,"$1,200,984"
95241,2001,Univ. of South Alabama,AL,2,"$86,125"
95007,2002,Auburn Univ.,AL,21,"$188,060"
95182,2002,The UAB Research Fdn.,AL,24,"$2,427,075"
95241,2002,Univ. of South Alabama,AL,4,"$89,953"
95007,2003,Auburn Univ.,AL,12,"$340,161"
95182,2003,The UAB Research Fdn.,AL,15,"$2,875,745"
95241,2003,Univ. of South Alabama,AL,1,"$148,114"
95007,2004,Auburn Univ.,AL,13,"$296,690"
95182,2004,The UAB Research Fdn.,AL,14,"$1,979,931"
95181,2004,Univ. of Alabama in Huntsville,AL,8,"$750,000"
95241,2004,Univ. of South Alabama,AL,1,"$339,430"
95007,2005,Auburn Univ.,AL,14,"$532,585"
95182,2005,The UAB Research Fdn.,AL,17,"$8,040,594"
95181,2005,Univ. of Alabama in Huntsville,AL,13,"$837,823"
95241,2005,Univ. of South Alabama,AL,4,"$602,290"
95007,2006,Auburn Univ.,AL,18,"$699,810"
95182,2006,The UAB Research Fdn.,AL,11,"$4,685,000"
95241,2006,Univ. of South Alabama,AL,1,"$1,218,684"
20070261,2006,University of Alabama,AL,2,$0
95007,2007,Auburn Univ.,AL,13,"$553,614"
95182,2007,The UAB Research Fdn.,AL,17,"$3,503,204"
95181,2007,Univ. of Alabama in Huntsville,AL,0,"$1,117,135"
95241,2007,Univ. of South Alabama,AL,0,"$1,975,683"
20070261,2007,University of Alabama,AL,5,"$150,000"
95007,2008,Auburn Univ.,AL,14,"$675,132"
95182,2008,The UAB Research Fdn.,AL,17,"$7,404,587"
95181,2008,Univ. of Alabama in Huntsville,AL,3,"$1,024,247"
95241,2008,Univ. of South Alabama,AL,0,"$2,022,116"
20070261,2008,University of Alabama,AL,5,"$38,163"
95007,2009,Auburn Univ.,AL,15,"$693,452"
95182,2009,The UAB Research Fdn.,AL,29,"$2,668,761"
95181,2009,Univ. of Alabama in Huntsville,AL,3,"$1,012,005"
95241,2009,Univ. of South Alabama,AL,1,"$2,553,723"
20070261,2009,University of Alabama,AL,3,"$5,005"
95007,2010,Auburn Univ.,AL,25,"$770,134"
95182,2010,The UAB Research Fdn.,AL,22,"$3,804,741"
95181,2010,Univ. of Alabama in Huntsville,AL,2,"$1,037,722"
95241,2010,Univ. of South Alabama,AL,3,"$2,302,192"
20070261,2010,University of Alabama,AL,3,"$77,051"
95007,2011,Auburn Univ.,AL,20,"$630,334"
95182,2011,The UAB Research Fdn.,AL,27,"$6,676,056"
95181,2011,Univ. of Alabama in Huntsville,AL,4,"$1,043,045"
95241,2011,Univ. of South Alabama,AL,4,"$2,400,157"
20070261,2011,University of Alabama,AL,3,"$8,593"
95007,2012,Auburn Univ.,AL,17,"$646,659"
95182,2012,The UAB Research Fdn.,AL,35,"$3,965,423"
95181,2012,Univ. of Alabama in Huntsville,AL,2,"$1,023,170"
95241,2012,Univ. of South Alabama,AL,9,"$1,852,438"
20070261,2012,University of Alabama,AL,4,"$18,294"
95007,2013,Auburn Univ.,AL,7,"$835,897"
95182,2013,The UAB Research Fdn.,AL,22,"$4,368,684"
95181,2013,Univ. of Alabama in Huntsville,AL,2,"$1,018,347"
95186,1991,Univ. of Arkansas Fayetteville,AR,5,"$81,093"
95186,1992,Univ. of Arkansas Fayetteville,AR,5,"$299,358"
95186,1993,Univ. of Arkansas Fayetteville,AR,0,"$500,461"
95186,1994,Univ. of Arkansas Fayetteville,AR,1,"$250,670"
95186,1995,Univ. of Arkansas Fayetteville,AR,2,"$406,660"
95186,1996,Univ. of Arkansas Fayetteville,AR,2,"$95,970"
95186,1997,Univ. of Arkansas Fayetteville,AR,4,"$66,656"
95186,1998,Univ. of Arkansas Fayetteville,AR,1,"$206,546"
95186,1999,Univ. of Arkansas Fayetteville,AR,2,"$259,883"
95186,2000,Univ. of Arkansas Fayetteville,AR,12,"$3,370,557"
95186,2001,Univ. of Arkansas Fayetteville,AR,12,"$325,900"
97013,2001,Univ. of Arkansas for Medical Sciences,AR,2,"$350,000"
95186,2002,Univ. of Arkansas Fayetteville,AR,8,"$341,751"
97013,2002,Univ. of Arkansas for Medical Sciences,AR,3,"$226,341"
95186,2003,Univ. of Arkansas Fayetteville,AR,5,"$356,691"
97013,2003,Univ. of Arkansas for Medical Sciences,AR,1,"$227,600"
95186,2004,Univ. of Arkansas Fayetteville,AR,25,"$304,000"
97013,2004,Univ. of Arkansas for Medical Sciences,AR,6,"$240,682"
95186,2005,Univ. of Arkansas Fayetteville,AR,18,"$364,500"
97013,2005,Univ. of Arkansas for Medical Sciences,AR,11,"$323,207"
97013,2006,Univ. of Arkansas for Medical Sciences,AR,7,"$469,662"
95186,2007,Univ. of Arkansas Fayetteville,AR,9,"$404,378"
97013,2007,Univ. of Arkansas for Medical Sciences,AR,7,"$1,205,396"
95186,2008,Univ. of Arkansas Fayetteville,AR,9,"$302,536"
97013,2008,Univ. of Arkansas for Medical Sciences,AR,1,"$677,262"
95186,2009,Univ. of Arkansas Fayetteville,AR,61,"$663,167"
97013,2009,Univ. of Arkansas for Medical Sciences,AR,6,"$811,774"
95186,2010,Univ. of Arkansas Fayetteville,AR,64,"$688,589"
95186,2011,Univ. of Arkansas Fayetteville,AR,32,"$901,106"
97013,2011,Univ. of Arkansas for Medical Sciences,AR,7,"$735,841"
95186,2012,Univ. of Arkansas Fayetteville,AR,42,"$1,146,246"
97013,2012,Univ. of Arkansas for Medical Sciences,AR,6,0
95186,2013,Univ. of Arkansas Fayetteville,AR,40,"$925,153"
97013,2013,Univ. of Arkansas for Medical Sciences,AR,6,"$1,137,124"
95144,1991,Research Corporation Technologies,AZ,21,"$42,979,173"
95185,1991,Univ. of AZ,AZ,10,"$116,305"
95144,1992,Research Corporation Technologies,AZ,21,"$50,345,501"
95185,1992,Univ. of AZ,AZ,13,"$153,469"
95006,1993,AZ State University,AZ,6,"$502,304"
95144,1993,Research Corporation Technologies,AZ,35,"$55,463,780"
95185,1993,Univ. of AZ,AZ,17,"$153,111"
95006,1994,AZ State University,AZ,5,"$874,884"
95144,1994,Research Corporation Technologies,AZ,44,"$59,141,000"
95185,1994,Univ. of AZ,AZ,11,"$180,331"
95006,1995,AZ State University,AZ,1,"$237,621"
95144,1995,Research Corporation Technologies,AZ,24,"$63,043,800"
95185,1995,Univ. of AZ,AZ,8,"$206,512"
95006,1996,Arizona State University,AZ,10,"$487,637"
95144,1996,Research Corporation Technologies,AZ,31,"$70,343,112"
95185,1996,Univ. of Arizona,AZ,13,"$253,302"
95006,1997,Arizona State University,AZ,8,"$731,307"
95144,1997,Research Corporation Technologies,AZ,33,"$75,044,599"
95185,1997,Univ. of Arizona,AZ,59,"$593,661"
95006,1998,Arizona State University,AZ,8,"$603,313"
95144,1998,Research Corporation Technologies,AZ,28,"$70,587,642"
95185,1998,Univ. of Arizona,AZ,32,"$477,000"
95006,1999,Arizona State University,AZ,11,"$1,274,145"
95144,1999,Research Corporation Technologies,AZ,28,"$100,509,700"
95185,1999,Univ. of Arizona,AZ,11,"$314,299"
95006,2000,Arizona State University,AZ,10,"$1,532,124"
95144,2000,Research Corporation Technologies,AZ,24,"$69,296,661"
95185,2000,Univ. of Arizona,AZ,37,"$368,970"
95006,2001,Arizona State University,AZ,11,"$1,746,531"
95144,2001,Research Corporation Technologies,AZ,68,"$72,331,934"
95185,2001,Univ. of Arizona,AZ,18,"$833,954"
95006,2002,Arizona State Univ.,AZ,7,"$1,770,342"
95144,2002,Research Corporation Technologies,AZ,65,"$47,565,784"
95185,2002,Univ. of Arizona,AZ,25,"$714,415"
95006,2003,Arizona State Univ.,AZ,3,"$1,092,775"
95144,2003,Research Corporation Technologies,AZ,43,"$71,351,848"
95185,2003,Univ. of Arizona,AZ,23,"$1,076,870"
95006,2004,Arizona State Univ.,AZ,20,"$1,421,835"
95144,2004,Research Corporation Technologies,AZ,25,"$39,689,642"
95185,2004,Univ. of Arizona,AZ,24,"$1,008,621"
95006,2005,Arizona State Univ.,AZ,28,"$2,287,170"
95144,2005,Research Corporation Technologies,AZ,35,"$8,351,774"
95185,2005,Univ. of Arizona,AZ,28,"$1,175,915"
