,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Science and engineering postdoctorates per 1,000 individuals 25–34 years old, by state: 1990–2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S&E graduate students,,,,,,,,,,,,,,,,,,,,,,,Population 25–34 years old,,,,,,,,,,,,,,,,,,,,,,,"S&E graduate students/1,000 individuals 25–34 years old",,,,,,,,,,,,,,,,,,,,,
Florida,594,549,545,600,543,543,592,653,698,665,646,867,939,"1,014","1,267","1,302","1,359","1,460","1,481","1,525","1,546","1,526",,"2,117,386","2,126,564","2,114,942","2,079,987","2,054,541","2,028,116","2,002,813","1,970,764","1,928,332","1,881,169","2,082,060","2,071,777","2,085,560","2,103,282","2,142,213","2,184,963","2,221,655","2,237,326","2,250,501","2,268,725","2,296,783","2,348,449",,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.6
Georgia,397,409,470,508,488,516,588,572,561,559,868,861,916,"1,037","1,073","1,245","1,230","1,273","1,301","1,338","1,384","1,520",,"1,173,391","1,190,225","1,196,216","1,196,457","1,204,442","1,209,458","1,215,294","1,217,255","1,211,587","1,205,249","1,298,941","1,295,862","1,292,841","1,287,770","1,294,936","1,293,172","1,312,377","1,320,457","1,330,542","1,338,179","1,341,059","1,357,886",,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.8,0.8,1.0,0.9,1.0,1.0,1.0,1.0,1.1
Hawaii ,68,50,70,65,59,91,104,122,120,55,52,69,72,118,184,93,98,163,208,207,214,237,,"200,975","199,120","195,570","189,366","183,733","176,522","168,485","160,985","154,881","146,817","170,457","168,560","168,909","167,480","169,160","173,008","176,055","175,506","180,269","183,239","185,533","192,265",,0.3,0.3,0.4,0.3,0.3,0.5,0.6,0.8,0.8,0.4,0.3,0.4,0.4,0.7,1.1,0.5,0.6,0.9,1.2,1.1,1.2,1.2
Idaho ,44,36,30,47,49,44,46,37,36,32,26,34,41,71,50,33,44,61,53,58,69,77,,"152,941","151,270","149,281","149,057","148,665","149,125","149,784","150,552","151,433","154,208","169,182","169,900","172,436","175,412","180,138","185,263","191,279","198,366","204,010","207,725","209,783","210,906",,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.4
Illinois,"1,179","1,213","1,218","1,093","1,176","1,245","1,139","1,191","1,204","1,255","1,296","1,352","1,301","1,333","1,496","1,499","1,460","1,646","2,131","2,360","2,355","2,381",,"1,991,814","1,981,408","1,956,919","1,926,485","1,891,267","1,857,372","1,825,273","1,783,545","1,743,624","1,701,968","1,806,169","1,788,465","1,778,648","1,764,369","1,751,645","1,738,659","1,737,829","1,742,537","1,757,471","1,770,469","1,780,864","1,787,899",,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.9,0.9,0.8,0.9,1.2,1.3,1.3,1.3
Indiana,567,586,614,653,616,602,598,699,728,722,760,739,746,764,736,819,840,868,805,862,843,848,,"914,406","908,291","893,950","883,464","873,853","868,661","867,584","854,925","838,946","823,952","827,916","817,892","812,004","812,263","810,727","811,745","812,260","816,321","821,148","825,179","830,515","835,258",,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.1,1.0,1.0,1.0,1.0
Iowa,364,460,465,545,543,551,526,501,461,458,532,550,566,559,542,604,545,552,609,601,679,520,,"428,017","416,450","408,204","399,918","392,988","388,231","383,395","374,757","364,603","356,641","361,612","356,466","353,253","351,501","349,425","350,690","352,021","360,633","368,668","377,041","384,472","389,147",,0.9,1.1,1.1,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.5,1.5,1.6,1.6,1.6,1.7,1.5,1.5,1.7,1.6,1.8,1.3
Kansas ,218,202,272,287,305,268,277,262,262,268,256,296,320,340,327,317,351,307,329,359,324,403,,"412,736","403,118","396,438","388,218","381,771","376,146","368,460","358,134","348,681","340,484","347,852","343,487","342,814","341,110","340,723","338,523","343,137","351,287","360,888","370,956","379,824","383,886",,0.5,0.5,0.7,0.7,0.8,0.7,0.8,0.7,0.8,0.8,0.7,0.9,0.9,1.0,1.0,0.9,1.0,0.9,0.9,1.0,0.9,1.0
Kentucky ,153,211,223,227,235,236,204,211,272,271,331,326,303,377,432,387,486,395,377,422,454,428,,"610,138","602,477","593,271","583,619","574,811","569,428","565,744","556,431","549,127","542,574","565,671","556,948","552,382","550,343","552,204","554,515","555,069","558,071","558,929","564,291","568,040","569,299",,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.5,0.7,0.8,0.7,0.9,0.7,0.7,0.7,0.8,0.8
Louisiana ,225,295,292,274,330,290,273,270,243,252,290,271,316,380,409,261,311,328,379,412,469,406,,"703,883","690,565","673,955","655,495","639,649","626,352","614,661","601,194","586,604","571,970","598,087","587,213","584,779","584,738","591,843","599,543","560,262","575,856","592,767","613,507","631,878","643,209",,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.4,0.6,0.6,0.6,0.7,0.7,0.6
Maine ,14,11,13,16,18,23,16,25,29,24,26,40,38,32,26,15,NA,12,20,20,25,14,,"205,166","200,821","194,011","188,363","182,323","178,544","176,186","172,945","169,350","166,472","156,753","152,867","150,990","149,621","148,155","145,702","143,767","143,628","143,942","144,182","144,921","146,381",,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.3,0.3,0.2,0.2,0.1,NA,0.1,0.1,0.1,0.2,0.1
Maryland,952,"1,011","1,142","1,181","1,287","1,084","1,204","1,372","1,484","1,696","1,572","1,688","1,869","1,846","1,917","1,947","1,710","1,769","1,855","2,019","2,580","2,542",,"899,551","903,767","896,603","882,453","869,462","852,926","838,211","814,881","789,089","760,262","746,470","733,474","728,867","725,954","724,290","724,285","725,791","726,252","735,642","750,047","765,384","784,346",,1.1,1.1,1.3,1.3,1.5,1.3,1.4,1.7,1.9,2.2,2.1,2.3,2.6,2.5,2.6,2.7,2.4,2.4,2.5,2.7,3.4,3.2
Massachusetts,"3,345","3,516","3,676","3,791","4,200","3,540","3,778","3,920","4,748","4,808","5,423","5,534","5,897","5,966","5,931","6,287","6,670","7,366","8,391","8,187","9,458","9,342",,"1,098,650","1,088,376","1,074,898","1,061,596","1,052,579","1,047,136","1,036,693","1,014,531","979,008","939,471","924,177","907,376","890,406","871,255","852,813","832,018","818,399","814,747","823,150","836,527","849,467","870,207",,3.0,3.2,3.4,3.6,4.0,3.4,3.6,3.9,4.8,5.1,5.9,6.1,6.6,6.8,7.0,7.6,8.2,9.0,10.2,9.8,11.1,10.7
Michigan,832,883,"1,011","1,037","1,108","1,170","1,153","1,127","1,068","1,139","1,108","1,115","1,394","1,405","1,255","1,230","1,373","1,179","1,054","1,651","1,888","1,795",,"1,574,674","1,553,673","1,527,740","1,498,084","1,474,628","1,458,218","1,449,151","1,423,309","1,393,047","1,362,355","1,356,447","1,327,644","1,302,869","1,284,254","1,264,592","1,243,378","1,219,056","1,197,913","1,180,544","1,168,135","1,166,302","1,172,148",,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.1,1.1,1.0,1.0,1.1,1.0,0.9,1.4,1.6,1.5
Minnesota,492,561,598,709,705,735,748,798,831,847,952,"1,082","1,051",915,992,"1,074","1,057","1,005","1,037","1,291","1,054","1,033",,"779,247","768,297","752,796","738,253","722,309","706,087","691,672","669,827","647,066","629,537","671,801","666,671","663,092","660,236","658,568","658,321","661,468","678,304","693,862","707,472","718,344","729,934",,0.6,0.7,0.8,1.0,1.0,1.0,1.1,1.2,1.3,1.3,1.4,1.6,1.6,1.4,1.5,1.6,1.6,1.5,1.5,1.8,1.5,1.4
Mississippi ,88,57,62,83,93,89,90,79,85,87,90,118,142,169,156,170,194,175,149,147,175,174,,"401,023","394,972","385,374","381,258","379,369","380,115","382,545","382,623","380,593","378,055","380,102","374,462","372,165","371,138","373,250","375,456","373,805","377,937","381,965","385,569","388,103","389,945",,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.5,0.4
Missouri,557,677,733,803,785,783,892,905,903,881,"1,022",918,903,931,715,647,671,821,833,898,900,887,,"851,613","839,650","823,000","806,964","793,642","781,039","770,644","754,942","736,889","721,307","736,368","727,911","726,026","725,017","726,907","729,435","736,036","745,829","754,908","767,881","778,205","787,984",,0.7,0.8,0.9,1.0,1.0,1.0,1.2,1.2,1.2,1.2,1.4,1.3,1.2,1.3,1.0,0.9,0.9,1.1,1.1,1.2,1.2,1.1
Montana ,37,35,25,32,27,47,48,67,92,82,87,98,117,105,99,155,135,100,100,93,97,72,,"123,343","116,708","112,119","108,799","105,694","103,228","101,054","98,004","95,376","94,112","102,791","101,315","100,829","101,732","103,826","105,468","107,547","112,370","116,423","120,469","123,326","125,164",,0.3,0.3,0.2,0.3,0.3,0.5,0.5,0.7,1.0,0.9,0.8,1.0,1.2,1.0,1.0,1.5,1.3,0.9,0.9,0.8,0.8,0.6
Nebraska ,109,104,128,132,167,160,160,135,165,170,210,146,205,220,229,232,218,231,261,288,345,337,,"256,871","250,536","244,871","237,918","231,569","227,087","223,417","217,666","211,365","206,359","222,605","220,445","219,808","220,720","220,654","221,322","223,330","228,300","233,846","240,551","246,333","250,051",,0.4,0.4,0.5,0.6,0.7,0.7,0.7,0.6,0.8,0.8,0.9,0.7,0.9,1.0,1.0,1.0,1.0,1.0,1.1,1.2,1.4,1.3
Nevada ,44,47,67,39,53,54,49,41,20,17,23,14,79,80,88,94,101,142,100,107,88,92,,"222,001","235,001","239,520","241,481","248,344","252,066","252,663","253,645","251,140","247,790","308,184","314,776","322,067","329,518","342,914","355,064","367,992","378,966","386,492","388,477","387,764","388,454",,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.0,0.2,0.2,0.3,0.3,0.3,0.4,0.3,0.3,0.2,0.2
New Hampshire ,71,81,95,104,98,106,122,110,86,129,131,122,165,187,259,249,235,219,215,218,228,245,,"204,700","199,514","194,986","191,727","189,171","188,252","188,221","185,759","181,466","178,006","159,595","156,956","154,345","152,277","149,206","146,628","144,611","143,573","143,691","143,585","144,906","146,960",,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.7,0.8,0.8,1.1,1.2,1.7,1.7,1.6,1.5,1.5,1.5,1.6,1.7
New Jersey,580,603,595,599,620,633,603,638,638,631,672,691,716,714,705,696,692,723,743,826,"1,011","1,003",,"1,364,793","1,346,552","1,322,149","1,292,830","1,260,235","1,230,099","1,200,054","1,169,347","1,137,612","1,106,507","1,186,421","1,164,876","1,151,666","1,138,050","1,123,707","1,108,194","1,091,700","1,088,607","1,096,725","1,103,609","1,113,022","1,124,825",,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.9,0.9
New Mexico ,74,77,85,89,84,73,91,66,100,110,88,51,79,116,118,109,105,181,184,494,243,218,,"256,707","251,634","247,215","241,534","238,593","233,663","228,959","221,752","216,029","210,923","233,006","229,301","231,321","234,200","238,039","242,376","247,445","252,740","256,437","262,060","267,862","273,317",,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.3,0.5,0.5,0.4,0.2,0.3,0.5,0.5,0.4,0.4,0.7,0.7,1.9,0.9,0.8
New York,"2,654","2,757","2,790","2,914","2,966","2,907","2,916","3,152","3,184","3,322","3,984","4,099","3,408","3,763","4,023","4,242","4,212","4,268","4,418","4,220","5,260","5,203",,"3,143,084","3,113,857","3,072,234","3,027,979","2,971,922","2,911,966","2,852,788","2,780,058","2,701,240","2,622,029","2,750,527","2,705,918","2,679,451","2,656,506","2,624,513","2,583,949","2,560,803","2,565,014","2,598,483","2,635,818","2,666,717","2,716,521",,0.8,0.9,0.9,1.0,1.0,1.0,1.0,1.1,1.2,1.3,1.4,1.5,1.3,1.4,1.5,1.6,1.6,1.7,1.7,1.6,2.0,1.9
North Carolina,933,"1,016","1,134","1,280","1,394","1,401","1,422","1,343","1,468","1,474","1,478","1,440","1,688","1,757","1,796","1,954","1,960","1,845","1,862","2,034","2,184","2,265",,"1,142,850","1,143,927","1,133,762","1,132,784","1,135,586","1,143,792","1,150,418","1,143,569","1,129,041","1,111,053","1,212,650","1,207,640","1,202,111","1,193,775","1,193,778","1,187,065","1,192,318","1,201,650","1,223,875","1,237,192","1,254,008","1,261,660",,0.8,0.9,1.0,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.2,1.2,1.4,1.5,1.5,1.6,1.6,1.5,1.5,1.6,1.7,1.8
North Dakota ,23,29,38,46,45,42,47,52,47,42,50,60,57,73,81,50,39,51,56,64,72,46,,"103,749","99,308","95,962","93,082","90,855","89,008","87,491","84,358","80,870","77,782","76,394","74,377","73,193","72,926","74,007","74,290","75,538","79,816","82,659","87,228","91,054","94,738",,0.2,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.7,0.8,0.8,1.0,1.1,0.7,0.5,0.6,0.7,0.7,0.8,0.5
Ohio,888,971,995,"1,011",968,"1,011","1,044","1,000",922,"1,016","1,093",942,"1,106","1,195","1,177","1,113",974,"1,227","1,213","1,241","1,295","1,457",,"1,795,061","1,773,600","1,738,636","1,704,983","1,673,302","1,651,589","1,633,740","1,600,802","1,566,982","1,531,688","1,511,201","1,481,232","1,463,095","1,453,156","1,444,523","1,435,215","1,420,465","1,414,429","1,411,990","1,410,648","1,414,137","1,425,637",,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.8,0.8,0.8,0.8,0.7,0.9,0.9,0.9,0.9,1.0
Oklahoma ,134,140,155,173,157,172,185,191,201,172,182,167,172,186,148,184,162,212,211,264,251,231,,"509,077","493,158","482,376","469,762","457,708","448,121","442,383","433,901","424,994","417,337","449,399","445,894","447,621","447,100","450,653","454,892","463,304","474,358","484,333","498,218","508,693","515,926",,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.4,0.4,0.5,0.5,0.4
Oregon,193,217,228,265,328,345,328,318,256,299,331,329,340,266,282,292,320,311,327,470,597,577,,"451,842","447,989","442,221","440,878","438,145","437,218","437,028","432,385","427,402","424,653","469,683","472,656","478,282","481,061","479,431","481,819","488,957","499,535","509,820","520,329","526,077","530,602",,0.4,0.5,0.5,0.6,0.7,0.8,0.8,0.7,0.6,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.7,0.6,0.6,0.9,1.1,1.1
Pennsylvania,"1,365","1,510","1,678","1,752","1,929","1,953","2,090","2,319","2,287","2,366","2,604","2,333","2,348","2,490","2,470","2,503","2,530","2,645","2,684","2,927","2,987","2,882",,"1,912,326","1,875,384","1,828,605","1,788,478","1,756,911","1,729,283","1,705,702","1,663,839","1,617,666","1,570,310","1,551,601","1,514,109","1,493,954","1,485,351","1,476,744","1,468,043","1,460,972","1,464,778","1,480,932","1,498,783","1,516,291","1,547,226",,0.7,0.8,0.9,1.0,1.1,1.1,1.2,1.4,1.4,1.5,1.7,1.5,1.6,1.7,1.7,1.7,1.7,1.8,1.8,2.0,2.0,1.9
Rhode Island ,128,118,166,155,146,159,154,155,175,226,142,135,129,130,130,249,228,222,238,266,320,329,,"173,358","171,013","166,910","163,192","161,037","159,508","158,924","155,539","150,218","144,164","139,942","137,032","136,219","136,066","135,243","131,683","128,875","126,899","127,188","126,651","127,240","128,843",,0.7,0.7,1.0,0.9,0.9,1.0,1.0,1.0,1.2,1.6,1.0,1.0,0.9,1.0,1.0,1.9,1.8,1.7,1.9,2.1,2.5,2.6
South Carolina ,133,176,192,224,239,246,226,251,252,289,372,391,324,302,297,349,363,410,381,363,385,383,,"590,859","594,304","588,243","581,100","575,999","574,013","573,575","570,554","566,157","560,080","558,936","551,336","551,869","552,295","556,293","558,436","564,942","570,513","580,589","586,880","594,252","600,606",,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.7,0.7,0.6,0.5,0.5,0.6,0.6,0.7,0.7,0.6,0.6,0.6
South Dakota ,12,4,12,10,21,17,21,12,10,12,10,9,12,17,20,21,19,35,32,51,62,65,,"109,252","105,620","102,448","100,108","98,033","95,952","93,985","90,549","87,577","85,830","90,662","89,533","89,484","89,487","90,470","91,804","92,913","96,924","99,505","103,198","106,038","108,359",,0.1,0.0,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.4,0.3,0.5,0.6,0.6
Tennessee,398,453,570,548,536,471,555,582,588,609,631,698,683,776,841,813,763,663,764,801,"1,040","1,098",,"811,975","810,970","803,275","797,271","795,631","797,201","801,585","797,574","787,562","776,272","812,772","800,705","795,801","794,674","800,018","803,720","809,202","815,044","816,265","821,861","826,749","834,804",,0.5,0.6,0.7,0.7,0.7,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1.0,1.1,1.0,0.9,0.8,0.9,1.0,1.3,1.3
Texas,"1,816","1,629","1,810","1,930","2,116","1,980","2,323","2,361","2,708","2,489","2,584","2,598","2,600","2,977","3,037","2,908","3,274","3,167","3,316","3,789","3,820","3,861",,"3,083,936","3,058,260","3,024,538","2,992,253","2,959,011","2,932,666","2,897,002","2,857,237","2,811,983","2,771,877","3,162,840","3,186,416","3,219,648","3,234,855","3,263,123","3,297,694","3,361,877","3,425,969","3,495,902","3,566,069","3,631,015","3,690,821",,0.6,0.5,0.6,0.6,0.7,0.7,0.8,0.8,1.0,0.9,0.8,0.8,0.8,0.9,0.9,0.9,1.0,0.9,0.9,1.1,1.1,1.0
Utah,245,234,226,188,219,269,297,357,350,352,321,306,294,318,323,367,367,338,366,399,534,447,,"274,824","278,584","281,938","284,718","287,523","288,971","292,112","292,936","291,726","292,796","327,443","333,952","343,699","354,519","367,784","379,940","395,758","414,291","429,369","440,646","448,894","449,404",,0.9,0.8,0.8,0.7,0.8,0.9,1.0,1.2,1.2,1.2,1.0,0.9,0.9,0.9,0.9,1.0,0.9,0.8,0.9,0.9,1.2,1.0
Vermont ,79,77,78,77,90,80,72,51,73,74,97,92,97,103,105,112,79,77,90,77,87,68,,"95,221","92,349","89,652","87,896","87,451","87,407","87,507","86,613","84,759","83,144","74,209","72,130","71,165","69,883","68,536","67,389","66,702","66,782","67,742","68,872","69,785","70,651",,0.8,0.8,0.9,0.9,1.0,0.9,0.8,0.6,0.9,0.9,1.3,1.3,1.4,1.5,1.5,1.7,1.2,1.2,1.3,1.1,1.2,1.0
Virginia,459,478,487,618,649,590,628,634,688,709,715,666,707,678,732,864,934,934,980,964,983,"1,197",,"1,140,293","1,143,280","1,143,026","1,136,797","1,130,198","1,121,919","1,114,265","1,097,057","1,069,562","1,047,601","1,035,388","1,025,675","1,018,606","1,014,083","1,016,307","1,019,070","1,023,967","1,032,580","1,051,186","1,072,354","1,095,731","1,121,245",,0.4,0.4,0.4,0.5,0.6,0.5,0.6,0.6,0.6,0.7,0.7,0.6,0.7,0.7,0.7,0.8,0.9,0.9,0.9,0.9,0.9,1.1
Washington,748,810,874,949,995,"1,010","1,092","1,075","1,109","1,223","1,168","1,099","1,181","1,118","1,208","1,140","1,206","1,127","1,024","1,187","1,403","1,409",,"855,483","854,756","853,081","850,276","842,877","838,812","828,876","817,042","802,313","789,042","838,953","837,266","837,613","833,614","835,461","838,721","855,936","872,237","899,021","923,298","938,906","961,616",,0.9,0.9,1.0,1.1,1.2,1.2,1.3,1.3,1.4,1.5,1.4,1.3,1.4,1.3,1.4,1.4,1.4,1.3,1.1,1.3,1.5,1.5
West Virginia ,51,59,55,42,31,26,25,18,14,8,47,34,31,27,34,48,61,59,84,86,87,103,,"262,094","253,375","245,139","238,946","234,160","230,829","230,950","229,861","227,943","226,085","227,328","222,472","221,919","222,377","221,856","222,650","221,677","220,852","220,531","221,136","221,443","221,255",,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5
Wisconsin,549,589,607,643,648,687,683,649,518,552,627,638,609,631,590,720,781,740,889,972,"1,542","1,048",,"821,800","810,416","798,736","787,430","773,582","761,129","750,352","728,952","706,440","688,229","704,112","692,200","685,540","681,594","679,665","678,197","678,122","688,329","701,692","713,719","723,962","731,644",,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,0.7,0.8,0.9,0.9,0.9,0.9,0.9,1.1,1.2,1.1,1.3,1.4,2.1,1.4
Wyoming ,25,24,33,47,37,45,41,72,53,52,74,43,28,44,64,63,49,54,75,69,65,55,,"74,454","69,429","65,877","62,720","60,184","57,930","56,110","54,283","53,192","52,573","59,494","58,619","59,508","59,623","61,035","62,644","64,854","68,450","71,440","76,214","77,933","79,201",,0.3,0.3,0.5,0.7,0.6,0.8,0.7,1.3,1.0,1.0,1.2,0.7,0.5,0.7,1.0,1.0,0.8,0.8,1.0,0.9,0.8,0.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
