KAUAI COUNTY,,,,,
Not Seasonally Adjusted Civilian Labor Force,,,,,
Annual Averages followed by Monthly Series,,,,,
,,,,,
,,Civilian Labor Force ,,,
,,,,,Percent of
,Annual,Total,Employed,Unemployed,Labor Force
,1990,"26,100","25,200",950,3.6
,1991,"28,050","26,900","1,150",4.1
,1992,"28,950","26,150","2,800",9.6
,1993,"28,150","24,500","3,650",13.0
,1994,"28,550","25,050","3,500",12.2
,1995,"28,850","25,750","3,100",10.7
,1996,"29,000","25,750","3,250",11.3
,1997,"28,800","25,850","2,950",10.3
,1998,"29,050","26,400","2,600",9.0
,1999,"29,500","27,450","2,050",6.9
,2000,"30,350","29,000","1,350",4.5
,2001,"30,450","28,950","1,550",5.0
,2002,"30,350","29,050","1,350",4.4
,2003,"31,300","30,050","1,250",4.0
,2004,"31,550","30,500","1,050",3.4
,2005,"31,900","31,050",850,2.7
,2006,"32,250","31,450",800,2.4
,2007,"32,600","31,750",850,2.6
,2008,"32,850","31,350","1,500",4.6
,2009(c),"32,200","29,200","3,000",9.3
,2010(b),"32,900","30,000","2,900",8.8
,2011(b),"33,300","30,450","2,850",8.5
,2012(b),"32,700","30,350","2,350",7.2
,2013(b),"32,400","30,550","1,850",5.7
,2014,,,,
,,,,,
,Monthly,,,,
,,,,,
,Jan-1990,"26,400","25,400","1,050",3.9
,Feb-1990,"26,200","25,300",950,3.6
,Mar-1990,"26,100","25,050","1,000",3.9
,Apr-1990,"25,950","24,900","1,050",4.0
,May-1990,"25,800","24,850",950,3.7
,June-1990,"26,150","25,000","1,150",4.4
,July-1990,"26,300","25,250","1,100",4.1
,Aug-1990,"26,200","25,300",850,3.3
,Sep-1990,"25,550","24,600","1,000",3.8
,Oct-1990,"25,800","25,050",750,3.0
,Nov-1990,"26,350","25,650",700,2.7
,Dec-1990,"26,500","25,850",700,2.6
,Jan-1991,"27,300","26,350",950,3.5
,Feb-1991,"27,200","26,300",900,3.3
,Mar-1991,"27,550","26,450","1,100",3.9
,Apr-1991,"27,750","26,750","1,050",3.7
,May-1991,"27,950","26,950","1,000",3.6
,June-1991,"28,600","27,100","1,500",5.2
,July-1991,"29,100","27,800","1,300",4.5
,Aug-1991,"28,500","27,350","1,150",4.1
,Sep-1991,"28,500","27,200","1,300",4.6
,Oct-1991,"28,050","26,900","1,150",4.1
,Nov-1991,"28,000","26,700","1,300",4.6
,Dec-1991,"28,050","26,800","1,250",4.4
,Jan-1992,"28,650","27,150","1,500",5.3
,Feb-1992,"28,600","26,800","1,800",6.3
,Mar-1992,"28,600","26,800","1,800",6.3
,Apr-1992,"28,800","27,000","1,800",6.3
,May-1992,"28,800","26,850","1,950",6.8
,June-1992,"29,450","26,900","2,550",8.7
,July-1992,"29,350","27,200","2,150",7.3
,Aug-1992,"29,100","27,150","1,950",6.8
,Sep-1992,"28,100","26,350","1,750",6.2
,Oct-1992,"29,700","23,400","6,250",21.1
,Nov-1992,"29,350","23,800","5,600",19.0
,Dec-1992,"28,550","24,250","4,300",15.1
,Jan-1993,"28,650","23,750","4,850",17.0
,Feb-1993,"28,150","23,650","4,500",15.9
,Mar-1993,"28,250","24,000","4,250",15.1
,Apr-1993,"27,950","24,250","3,700",13.2
,May-1993,"27,900","24,400","3,500",12.5
,June-1993,"28,350","24,350","4,050",14.2
,July-1993,"28,900","25,150","3,700",12.9
,Aug-1993,"28,200","24,900","3,250",11.6
,Sep-1993,"27,700","24,550","3,150",11.3
,Oct-1993,"27,950","24,950","3,000",10.8
,Nov-1993,"28,200","25,100","3,100",10.9
,Dec-1993,"27,900","25,050","2,850",10.2
,Jan-1994,"28,500","24,750","3,700",13.1
,Feb-1994,"28,300","24,550","3,700",13.1
,Mar-1994,"28,350","24,550","3,800",13.4
,Apr-1994,"28,350","24,750","3,600",12.7
,May-1994,"28,300","24,800","3,500",12.3
,June-1994,"28,600","24,800","3,750",13.2
,July-1994,"29,150","25,550","3,600",12.3
,Aug-1994,"28,850","25,400","3,400",11.9
,Sep-1994,"28,650","25,150","3,500",12.3
,Oct-1994,"28,300","25,000","3,300",11.6
,Nov-1994,"28,750","25,600","3,150",11.0
,Dec-1994,"28,550","25,650","2,900",10.2
,Jan-1995,"28,900","25,800","3,100",10.7
,Feb-1995,"28,400","25,450","2,950",10.3
,Mar-1995,"28,450","25,400","3,050",10.7
,Apr-1995,"28,600","25,350","3,250",11.3
,May-1995,"28,450","25,400","3,050",10.7
,June-1995,"29,000","25,600","3,350",11.6
,July-1995,"29,700","26,500","3,200",10.8
,Aug-1995,"29,250","26,200","3,050",10.4
,Sep-1995,"29,100","25,850","3,250",11.1
,Oct-1995,"28,750","25,750","3,050",10.6
,Nov-1995,"29,100","26,050","3,100",10.6
,Dec-1995,"28,800","25,900","2,900",10.0
,Jan-1996,"29,150","25,650","3,500",12.0
,Feb-1996,"28,900","25,650","3,300",11.3
,Mar-1996,"28,900","25,550","3,350",11.6
,Apr-1996,"28,950","25,700","3,250",11.3
,May-1996,"28,600","25,450","3,150",11.0
,June-1996,"29,100","25,550","3,550",12.2
,July-1996,"29,500","26,100","3,350",11.4
,Aug-1996,"29,150","26,150","3,000",10.3
,Sep-1996,"29,000","25,950","3,050",10.6
,Oct-1996,"28,700","25,650","3,050",10.6
,Nov-1996,"29,250","25,700","3,550",12.1
,Dec-1996,"29,100","25,850","3,200",11.1
,Jan-1997,"29,000","25,500","3,500",12.1
,Feb-1997,"28,400","25,400","3,000",10.5
,Mar-1997,"28,500","25,500","3,000",10.6
,Apr-1997,"28,850","26,000","2,900",10.0
,May-1997,"28,550","25,800","2,750",9.6
,June-1997,"29,100","25,850","3,250",11.1
,July-1997,"29,650","26,650","3,000",10.1
,Aug-1997,"29,200","26,150","3,050",10.4
,Sep-1997,"28,800","25,850","2,950",10.2
,Oct-1997,"28,200","25,600","2,600",9.2
,Nov-1997,"28,550","26,000","2,550",8.9
,Dec-1997,"29,000","26,000","3,000",10.3
,Jan-1998,"28,650","26,150","2,500",8.8
,Feb-1998,"28,400","26,000","2,400",8.4
,Mar-1998,"29,250","26,000","3,250",11.1
,Apr-1998,"28,700","26,350","2,350",8.2
,May-1998,"28,800","26,250","2,500",8.7
,June-1998,"29,550","26,450","3,050",10.4
,July-1998,"29,900","27,100","2,750",9.2
,Aug-1998,"29,400","26,750","2,650",9.0
,Sep-1998,"28,950","26,300","2,650",9.1
,Oct-1998,"28,650","26,300","2,350",8.2
,Nov-1998,"28,850","26,500","2,300",8.0
,Dec-1998,"29,300","26,800","2,500",8.5
,Jan-1999,"29,750","27,400","2,350",7.8
,Feb-1999,"29,200","27,050","2,150",7.3
,Mar-1999,"29,200","27,100","2,150",7.3
,Apr-1999,"29,100","27,250","1,850",6.3
,May-1999,"29,350","27,400","1,950",6.7
,June-1999,"29,400","27,300","2,100",7.2
,July-1999,"30,000","28,050","1,950",6.6
,Aug-1999,"30,050","28,050","2,000",6.6
,Sep-1999,"29,250","27,200","2,050",7.0
,Oct-1999,"29,250","27,400","1,850",6.4
,Nov-1999,"29,550","27,700","1,850",6.2
,Dec-1999,"29,850","27,750","2,050",6.9
,Jan-2000,"30,850","29,300","1,550",5.0
,Feb-2000,"30,550","29,200","1,350",4.5
,Mar-2000,"30,600","29,300","1,300",4.3
,Apr-2000,"30,700","29,450","1,250",4.1
,May-2000,"30,400","29,150","1,300",4.2
,June-2000,"30,400","28,950","1,500",4.9
,July-2000,"30,950","29,450","1,500",4.8
,Aug-2000,"30,450","29,000","1,450",4.7
